K,dataset,graphid,r,n,m,tr_utility,ts_utility,tr_size,ts_size,tr_only-Ns,ts_only-Ns,tr_empty_adj,ts_empty_adj,tr_perf1,ts_perf1,tr_perf2,ts_perf2,tr_perf3,ts_perf3,greedyTime
3,studentportuguese (30),9,8.5,224,50,152.12257212885154,65.47876292824822,156.0,68.0,2.18,0.82,0.65,0.35,99.31631999999999,97.97749000000002,97.51439,96.29230000000001,99.31631999999999,97.97749000000002,0.4747025728225708
4,studentportuguese (30),9,8.5,224,50,152.8557857142857,65.72779427925016,156.0,68.0,2.18,0.82,0.65,0.35,99.79485000000001,98.35002,97.98431000000001,96.6585,99.79485000000001,98.35002,0.6267490410804748
5,studentportuguese (30),9,8.5,224,50,153.17,65.89204427925014,156.0,68.0,2.18,0.82,0.65,0.35,100.0,98.59705,98.18596999999998,96.90000000000002,100.0,98.59705,0.7676016521453858
1,studentportuguese (30),10,9.0,224,50,153.27999255962138,66.57392897582666,156.0,68.0,1.46,0.54,0.0,0.0,99.18453000000004,98.68565000000001,98.25643,97.90287000000002,99.18453000000004,98.68565000000001,0.16710850954055786
2,studentportuguese (30),10,9.0,224,50,154.32339177978884,66.79457432181344,156.0,68.0,1.46,0.54,0.0,0.0,99.85969999999998,99.01326999999999,98.92518000000004,98.22732999999998,99.85969999999998,99.01326999999999,0.3252535700798035
3,studentportuguese (30),10,9.0,224,50,154.54,66.80610884866766,156.0,68.0,1.46,0.54,0.0,0.0,100.0,99.03047999999998,99.06414000000002,98.24428999999998,100.0,99.03047999999998,0.487621443271637
4,studentportuguese (30),10,9.0,224,50,154.54,66.80610884866766,156.0,68.0,1.46,0.54,0.0,0.0,100.0,99.03047999999998,99.06414000000002,98.24428999999998,100.0,99.03047999999998,0.561340491771698
5,studentportuguese (30),10,9.0,224,50,154.54,66.80610884866766,156.0,68.0,1.46,0.54,0.0,0.0,100.0,99.03047999999998,99.06414000000002,98.24428999999998,100.0,99.03047999999998,0.5572602438926697
1,studentportuguese (30),11,9.5,224,50,155.19024630541867,67.3469640372621,156.0,68.0,0.0,0.0,0.0,0.0,99.48102999999998,99.03969000000001,99.48102999999998,99.03969000000001,99.48102999999998,99.03969000000001,0.17731677293777465
2,studentportuguese (30),11,9.5,224,50,155.79674876847287,67.39367294429708,156.0,68.0,0.0,0.0,0.0,0.0,99.86985000000003,99.10838,99.86985000000003,99.10838,99.86985000000003,99.10838,0.3469344019889832
3,studentportuguese (30),11,9.5,224,50,156.0,67.39367294429708,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.10838,100.0,99.10838,100.0,99.10838,0.4839353156089783
4,studentportuguese (30),11,9.5,224,50,156.0,67.39367294429708,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.10838,100.0,99.10838,100.0,99.10838,0.5573992204666137
5,studentportuguese (30),11,9.5,224,50,156.0,67.39367294429708,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.10838,100.0,99.10838,100.0,99.10838,0.554529938697815
1,studentportuguese (30),12,10.0,224,50,156.0,67.776,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.67072,100.0,99.67072,100.0,99.67072,0.1644919514656067
2,studentportuguese (30),12,10.0,224,50,156.0,67.776,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.67072,100.0,99.67072,100.0,99.67072,0.32262047052383425
3,studentportuguese (30),12,10.0,224,50,156.0,67.776,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.67072,100.0,99.67072,100.0,99.67072,0.32101394653320314
4,studentportuguese (30),12,10.0,224,50,156.0,67.776,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.67072,100.0,99.67072,100.0,99.67072,0.3224906849861145
5,studentportuguese (30),12,10.0,224,50,156.0,67.776,156.0,68.0,0.0,0.0,0.0,0.0,100.0,99.67072,100.0,99.67072,100.0,99.67072,0.32425613403320314
