K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,r,n,m,dataset,graphid
4,"{25, 2, 38, 6}",112.5,"{1, 18, 15, 7}",90.74325396825397,"{25, 2, 38, 6}",112.5,"{0, 27, 6, 7}",104.1452380952381,112.5,"{38, 25, 2, 6}",1.0,0.8066067019400353,1.0,0.9257354497354497,47.64011192321777,6.0,206,38,studentmath (30),4
5,"{2, 38, 39, 6, 25}",115.16666666666666,"{1, 7, 14, 15, 18}",90.95992063492064,"{2, 38, 39, 6, 25}",115.16666666666666,"{0, 7, 6, 39, 27}",106.06190476190476,115.16666666666666,"{2, 38, 6, 39, 25}",1.0,0.7898111777272415,1.0,0.9209427330990283,337.6794250011444,6.0,206,38,studentmath (30),4
1,{38},125.04367299367298,{7},112.6169178044178,{38},125.04367299367298,{6},119.31347402597405,125.04367299367298,{38},1.0,0.9006206800252583,1.0,0.9541744189808877,0.035079002380371094,6.5,206,39,studentmath (30),5
2,"{2, 38}",135.79871794871795,"{1, 7}",113.88358447108446,"{2, 38}",135.79871794871795,"{0, 6}",126.6974386724387,135.79871794871795,"{2, 38}",1.0,0.8386204685237945,1.0,0.9329796377038243,0.6242380142211914,6.5,206,39,studentmath (30),5
3,"{0, 2, 38}",141.09999999999997,"{1, 18, 7}",116.4216797091797,"{0, 2, 38}",141.09999999999997,"{0, 27, 6}",128.59743867243873,141.09999999999997,"{0, 2, 38}",1.0,0.825100494040962,1.0,0.9113921947019047,7.7708141803741455,6.5,206,39,studentmath (30),5
4,"{0, 2, 28, 38}",144.51666666666665,"{1, 18, 15, 7}",116.4216797091797,"{0, 2, 28, 38}",144.51666666666665,"{0, 27, 6, 7}",135.25357142857146,144.51666666666665,"{0, 2, 28, 38}",1.0,0.8055934474167665,1.0,0.935902927657051,74.9342200756073,6.5,206,39,studentmath (30),5
5,"{0, 2, 38, 27, 28}",147.16666666666663,"{1, 7, 14, 15, 18}",116.55223526473526,"{0, 2, 38, 27, 28}",147.16666666666663,"{0, 7, 6, 39, 27}",136.58690476190478,147.16666666666663,"{0, 2, 38, 27, 28}",1.0,0.7919744185599227,1.0,0.9281103381329885,542.395989894867,6.5,206,39,studentmath (30),5
1,{38},151.4931748806749,{7},142.19634383933922,{38},151.4931748806749,{6},144.19353587588884,151.4931748806749,{38},1.0,0.9386320139593192,1.0,0.9518153935942283,0.0399479866027832,7.0,206,39,studentmath (30),6
2,"{2, 38}",161.99740259740264,"{1, 7}",145.01197265496805,"{2, 38}",161.99740259740264,"{0, 6}",155.7431651681652,162.1340548340549,"{0, 2}",0.999157165119986,0.8943955222941202,0.999157165119986,0.9605826815814186,0.8238339424133301,7.0,206,39,studentmath (30),6
3,"{0, 2, 38}",167.2069264069264,"{1, 18, 7}",149.4117007046961,"{0, 2, 38}",167.2069264069264,"{0, 27, 6}",157.9098318348319,167.2069264069264,"{0, 2, 38}",1.0,0.8935736330747291,1.0,0.944397670767128,10.696721076965332,7.0,206,39,studentmath (30),6
4,"{0, 2, 38, 6}",169.0857142857143,"{1, 18, 15, 7}",149.43551022850562,"{0, 2, 38, 6}",169.0857142857143,"{0, 27, 6, 7}",162.6925518925519,169.0857142857143,"{0, 38, 2, 6}",1.0,0.8837855454541562,1.0,0.9621898134909288,105.3899781703949,7.0,206,39,studentmath (30),6
5,"{0, 2, 38, 6, 9}",170.3,"{1, 7, 14, 15, 18}",149.6073051003005,"{0, 2, 38, 6, 9}",170.3,"{0, 7, 6, 39, 27}",164.1925518925519,170.36904761904762,"{0, 2, 38, 24, 25}",0.99959471735029,0.8781366521155224,0.99959471735029,0.9637463740461435,738.0087699890137,7.0,206,39,studentmath (30),6
1,{2},171.6685892538833,{7},162.0651484007908,{2},171.6685892538833,{6},165.7533055695594,171.6685892538833,{2},1.0,0.9440582526201702,1.0,0.9655424226992644,0.06255197525024414,7.5,206,39,studentmath (30),7
2,"{2, 38}",181.20476190476188,"{1, 7}",165.87367934353227,"{2, 38}",181.20476190476188,"{0, 6}",176.62612621296827,181.20476190476188,"{2, 38}",1.0,0.9153936000352608,1.0,0.9747322551368708,1.2904949188232422,7.5,206,39,studentmath (30),7
3,"{9, 2, 38}",185.5984126984127,"{1, 18, 7}",168.26154115492346,"{9, 2, 38}",185.5984126984127,"{0, 27, 6}",181.19315918000123,185.5984126984127,"{9, 2, 38}",1.0,0.9065893328966089,1.0,0.9762645948617581,15.137423038482666,7.5,206,39,studentmath (30),7
4,"{0, 9, 2, 38}",187.2055555555556,"{1, 18, 15, 7}",168.73758178096412,"{0, 9, 2, 38}",187.2055555555556,"{0, 27, 6, 7}",183.3412698412698,187.7,"{0, 9, 2, 28}",0.9973657728053043,0.8989748629779656,0.9973657728053043,0.9767782090637709,142.86282801628113,7.5,206,39,studentmath (30),7
5,"{0, 2, 38, 9, 27}",188.80555555555557,"{1, 7, 14, 15, 18}",169.54741084079322,"{0, 2, 38, 9, 27}",188.80555555555557,"{0, 36, 6, 7, 27}",183.3690476190476,189.33333333333331,"{0, 6, 9, 25, 28}",0.9972124413145542,0.8954968882436263,0.9972124413145542,0.968498490945674,1008.3286762237549,7.5,206,39,studentmath (30),7
