[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
1,125.0,{2},3,134.1666666666667,"{17, 10, 3}","{3, 17, 2, 10}",146.33333333333334,3
2,144.0,"{2, 38}",2,123.83333333333339,"{10, 3}","{3, 2, 10, 38}",150.5,3
3,154.75,"{0, 2, 38}",1,113.9166666666667,{3},"{0, 2, 3, 38}",156.33333333333331,3
4,162.5,"{0, 2, 38, 6}",0,103.75,set(),"{0, 2, 38, 6}",162.5,3
0,103.75,set(),5,146.25,"{3, 37, 10, 11, 17}","{17, 3, 37, 10, 11}",146.25,3
1,125.0,{2},4,141.16666666666669,"{11, 17, 10, 3}","{17, 2, 3, 10, 11}",151.91666666666666,3
2,144.0,"{2, 38}",3,134.1666666666667,"{17, 10, 3}","{17, 2, 3, 38, 10}",156.91666666666666,3
3,154.75,"{0, 2, 38}",2,123.83333333333339,"{10, 3}","{0, 2, 3, 38, 10}",159.41666666666666,3
4,162.5,"{0, 2, 38, 6}",1,113.9166666666667,{3},"{0, 2, 3, 38, 6}",163.66666666666666,3
5,170.0,"{0, 2, 38, 6, 28}",0,103.75,set(),"{0, 2, 38, 6, 28}",170.0,3
0,106.39999999999993,set(),1,115.94999999999995,{3},{3},115.94999999999995,4
1,132.39999999999998,{38},0,106.39999999999993,set(),{38},132.39999999999998,4
0,106.39999999999993,set(),2,126.7833333333333,"{10, 3}","{10, 3}",126.7833333333333,4
1,132.39999999999998,{38},1,115.94999999999995,{3},"{3, 38}",136.85000000000002,4
2,155.4000000000001,"{2, 38}",0,106.39999999999993,set(),"{2, 38}",155.4000000000001,4
0,106.39999999999993,set(),3,135.45,"{17, 10, 3}","{17, 10, 3}",135.45,4
1,132.39999999999998,{38},2,126.7833333333333,"{10, 3}","{10, 3, 38}",143.85000000000002,4
2,155.4000000000001,"{2, 38}",1,115.94999999999995,{3},"{2, 3, 38}",157.15000000000006,4
3,168.00000000000009,"{0, 2, 38}",0,106.39999999999993,set(),"{0, 2, 38}",168.00000000000009,4
0,106.39999999999993,set(),4,142.93333333333334,"{11, 17, 10, 3}","{11, 17, 10, 3}",142.93333333333334,4
1,132.39999999999998,{38},3,135.45,"{17, 10, 3}","{17, 10, 3, 38}",150.78333333333336,4
2,155.4000000000001,"{2, 38}",2,126.7833333333333,"{10, 3}","{3, 2, 10, 38}",161.23333333333338,4
3,168.00000000000009,"{0, 2, 38}",1,115.94999999999995,{3},"{0, 2, 3, 38}",168.75000000000009,4
4,175.80000000000007,"{0, 2, 28, 38}",0,106.39999999999993,set(),"{0, 2, 28, 38}",175.80000000000007,4
0,106.39999999999993,set(),5,148.05,"{3, 37, 10, 11, 17}","{17, 3, 37, 10, 11}",148.05,4
1,132.39999999999998,{38},4,142.93333333333334,"{11, 17, 10, 3}","{17, 3, 38, 10, 11}",154.73333333333335,4
2,155.4000000000001,"{2, 38}",3,135.45,"{17, 10, 3}","{17, 2, 3, 38, 10}",165.91666666666669,4
3,168.00000000000009,"{0, 2, 38}",2,126.7833333333333,"{10, 3}","{0, 2, 3, 38, 10}",171.26666666666674,4
4,175.80000000000007,"{0, 2, 28, 38}",1,115.94999999999995,{3},"{0, 2, 3, 38, 28}",176.40000000000006,4
5,181.60000000000005,"{0, 2, 38, 6, 28}",0,106.39999999999993,set(),"{0, 2, 38, 6, 28}",181.60000000000005,4
0,104.83333333333341,set(),1,113.73333333333333,{10},{10},113.73333333333333,5
1,138.16666666666663,{2},0,104.83333333333341,set(),{2},138.16666666666663,5
0,104.83333333333341,set(),2,123.53333333333329,"{10, 3}","{10, 3}",123.53333333333329,5
1,138.16666666666663,{2},1,113.73333333333333,{10},"{2, 10}",143.3,5
2,164.33333333333331,"{2, 38}",0,104.83333333333341,set(),"{2, 38}",164.33333333333331,5
0,104.83333333333341,set(),3,132.11666666666662,"{17, 10, 3}","{17, 10, 3}",132.11666666666662,5
1,138.16666666666663,{2},2,123.53333333333329,"{10, 3}","{3, 2, 10}",148.61666666666667,5
2,164.33333333333331,"{2, 38}",1,113.73333333333333,{10},"{2, 10, 38}",167.2333333333333,5
3,175.66666666666666,"{0, 2, 38}",0,104.83333333333341,set(),"{0, 2, 38}",175.66666666666666,5
0,104.83333333333341,set(),4,139.69999999999993,"{11, 17, 10, 3}","{11, 17, 10, 3}",139.69999999999993,5
1,138.16666666666663,{2},3,132.11666666666662,"{17, 10, 3}","{3, 17, 2, 10}",153.99999999999997,5
2,164.33333333333331,"{2, 38}",2,123.53333333333329,"{10, 3}","{3, 2, 10, 38}",168.45,5
3,175.66666666666666,"{0, 2, 38}",1,113.73333333333333,{10},"{0, 2, 10, 38}",177.23333333333335,5
4,183.66666666666663,"{0, 2, 28, 38}",0,104.83333333333341,set(),"{0, 2, 28, 38}",183.66666666666663,5
0,104.83333333333341,set(),5,144.61666666666665,"{3, 37, 10, 11, 17}","{17, 3, 37, 10, 11}",144.61666666666665,5
1,138.16666666666663,{2},4,139.69999999999993,"{11, 17, 10, 3}","{17, 2, 3, 10, 11}",159.96666666666664,5
2,164.33333333333331,"{2, 38}",3,132.11666666666662,"{17, 10, 3}","{17, 2, 3, 38, 10}",172.2833333333333,5
3,175.66666666666666,"{0, 2, 38}",2,123.53333333333329,"{10, 3}","{0, 2, 3, 38, 10}",177.7666666666667,5
4,183.66666666666663,"{0, 2, 28, 38}",1,113.73333333333333,{10},"{0, 2, 38, 10, 28}",184.66666666666666,5
5,189.3333333333333,"{0, 2, 38, 6, 28}",0,104.83333333333341,set(),"{0, 2, 38, 6, 28}",189.3333333333333,5
0,107.28571428571425,set(),1,116.16666666666657,{10},{10},116.16666666666657,6
1,144.4285714285715,{2},0,107.28571428571425,set(),{2},144.4285714285715,6
0,107.28571428571425,set(),2,125.31428571428563,"{10, 3}","{10, 3}",125.31428571428563,6
1,144.4285714285715,{2},1,116.16666666666657,{10},"{2, 10}",149.21428571428575,6
2,172.00000000000003,"{2, 38}",0,107.28571428571425,set(),"{2, 38}",172.00000000000003,6
0,107.28571428571425,set(),3,133.34047619047615,"{17, 10, 3}","{17, 10, 3}",133.34047619047615,6
1,144.4285714285715,{2},2,125.31428571428563,"{10, 3}","{3, 2, 10}",154.17619047619047,6
2,172.00000000000003,"{2, 38}",1,116.16666666666657,{10},"{2, 10, 38}",174.14285714285717,6
3,182.85714285714283,"{0, 2, 38}",0,107.28571428571425,set(),"{0, 2, 38}",182.85714285714283,6
0,107.28571428571425,set(),4,140.5261904761905,"{11, 17, 10, 3}","{11, 17, 10, 3}",140.5261904761905,6
1,144.4285714285715,{2},3,133.34047619047615,"{17, 10, 3}","{3, 17, 2, 10}",158.51904761904765,6
2,172.00000000000003,"{2, 38}",2,125.31428571428563,"{10, 3}","{3, 2, 10, 38}",175.01904761904763,6
3,182.85714285714283,"{0, 2, 38}",1,116.16666666666657,{10},"{0, 2, 10, 38}",184.0714285714286,6
4,191.42857142857144,"{0, 2, 28, 38}",0,107.28571428571425,set(),"{0, 2, 28, 38}",191.42857142857144,6
0,107.28571428571425,set(),5,145.30952380952385,"{3, 10, 11, 17, 29}","{17, 3, 10, 11, 29}",145.30952380952385,6
