[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,138.67023809523806,"{42, 44}",2,106.61469711233426,"{48, 45}","{48, 42, 44, 45}",141.9452380952381,5
3,143.6982683982684,"{24, 42, 44}",1,102.93102781462903,{45},"{24, 42, 44, 45}",144.9482683982684,5
4,147.29826839826836,"{24, 42, 44, 47}",0,97.25089835250746,set(),"{24, 42, 44, 47}",147.29826839826836,5
0,97.25089835250746,set(),5,118.28997762618371,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",118.28997762618371,5
1,128.60263347763347,{42},4,114.47030453490808,"{48, 32, 37, 45}","{48, 32, 37, 42, 45}",136.55811965811964,5
2,138.67023809523806,"{42, 44}",3,110.64904766001213,"{48, 32, 45}","{48, 32, 42, 44, 45}",142.3166666666667,5
3,143.6982683982684,"{24, 42, 44}",2,106.61469711233426,"{48, 45}","{48, 24, 42, 44, 45}",145.16746031746032,5
4,147.29826839826836,"{24, 42, 44, 47}",1,102.93102781462903,{45},"{24, 42, 44, 45, 47}",147.96493506493505,5
5,149.96969696969697,"{42, 44, 47, 24, 28}",0,97.25089835250746,set(),"{24, 42, 44, 28, 47}",149.96969696969697,5
0,103.21452157990244,set(),1,108.32132752680513,{45},{45},108.32132752680513,6
1,160.4953452249505,{42},0,103.21452157990244,set(),{42},160.4953452249505,6
0,103.21452157990244,set(),2,112.79510329553366,"{37, 45}","{37, 45}",112.79510329553366,6
1,160.4953452249505,{42},1,108.32132752680513,{45},"{42, 45}",162.68112026862028,6
2,171.29047619047617,"{42, 44}",0,103.21452157990244,set(),"{42, 44}",171.29047619047617,6
0,103.21452157990244,set(),3,117.13733511392593,"{32, 37, 45}","{32, 37, 45}",117.13733511392593,6
1,160.4953452249505,{42},2,112.79510329553366,"{37, 45}","{42, 45, 37}",163.95753698915462,6
2,171.29047619047617,"{42, 44}",1,108.32132752680513,{45},"{42, 44, 45}",172.54761904761907,6
3,174.3047619047619,"{42, 44, 28}",0,103.21452157990244,set(),"{42, 44, 28}",174.3047619047619,6
0,103.21452157990244,set(),4,121.67168260390675,"{32, 48, 37, 45}","{32, 48, 37, 45}",121.67168260390675,6
1,160.4953452249505,{42},3,117.13733511392593,"{32, 37, 45}","{32, 42, 45, 37}",164.74220534367592,6
2,171.29047619047617,"{42, 44}",2,112.79510329553366,"{37, 45}","{42, 45, 44, 37}",173.03333333333333,6
3,174.3047619047619,"{42, 44, 28}",1,108.32132752680513,{45},"{42, 45, 44, 28}",175.16666666666669,6
4,176.07142857142856,"{42, 44, 28, 47}",0,103.21452157990244,set(),"{42, 44, 28, 47}",176.07142857142856,6
0,103.21452157990244,set(),5,126.39369481226147,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",126.39369481226147,6
1,160.4953452249505,{42},4,121.67168260390675,"{32, 48, 37, 45}","{32, 48, 37, 42, 45}",166.3922244422244,6
2,171.29047619047617,"{42, 44}",3,117.13733511392593,"{32, 37, 45}","{32, 37, 42, 44, 45}",173.40476190476193,6
3,174.3047619047619,"{42, 44, 28}",2,112.79510329553366,"{37, 45}","{45, 37, 42, 44, 28}",175.4,6
4,176.07142857142856,"{42, 44, 28, 47}",1,108.32132752680513,{45},"{45, 42, 44, 28, 47}",176.33333333333334,6
5,177.57142857142856,"{41, 42, 44, 47, 28}",0,103.21452157990244,set(),"{41, 42, 44, 28, 47}",177.57142857142856,6
0,107.83169672832011,set(),1,111.73275975429617,{45},{45},111.73275975429617,7
1,185.71396970687593,{42},0,107.83169672832011,set(),{42},185.71396970687593,7
0,107.83169672832011,set(),2,116.10581008688224,"{45, 46}","{45, 46}",116.10581008688224,7
1,185.71396970687593,{42},1,111.73275975429617,{45},"{42, 45}",186.39211285790233,7
2,193.3166666666667,"{42, 44}",0,107.83169672832011,set(),"{42, 44}",193.3166666666667,7
0,107.83169672832011,set(),3,120.34481901380342,"{32, 45, 46}","{32, 45, 46}",120.34481901380342,7
1,185.71396970687593,{42},2,116.10581008688224,"{45, 46}","{42, 45, 46}",187.2149886748958,7
2,193.3166666666667,"{42, 44}",1,111.73275975429617,{45},"{42, 44, 45}",193.78571428571428,7
3,196.08333333333334,"{42, 44, 47}",0,107.83169672832011,set(),"{42, 44, 47}",196.08333333333334,7
0,107.83169672832011,set(),4,124.67483668343706,"{32, 37, 45, 46}","{32, 37, 45, 46}",124.67483668343706,7
1,185.71396970687593,{42},3,120.34481901380342,"{32, 45, 46}","{32, 42, 45, 46}",187.63270757020757,7
2,193.3166666666667,"{42, 44}",2,116.10581008688224,"{45, 46}","{42, 44, 45, 46}",194.4857142857143,7
3,196.08333333333334,"{42, 44, 47}",1,111.73275975429617,{45},"{42, 44, 45, 47}",196.45238095238093,7
4,197.53333333333333,"{16, 42, 44, 47}",0,107.83169672832011,set(),"{16, 42, 44, 47}",197.53333333333333,7
0,107.83169672832011,set(),5,128.71307601272986,"{32, 37, 45, 46, 48}","{32, 48, 37, 45, 46}",128.71307601272986,7
1,185.71396970687593,{42},4,124.67483668343706,"{32, 37, 45, 46}","{32, 37, 42, 45, 46}",188.13031135531136,7
2,193.3166666666667,"{42, 44}",3,120.34481901380342,"{32, 45, 46}","{32, 42, 44, 45, 46}",194.4857142857143,7
3,196.08333333333334,"{42, 44, 47}",2,116.10581008688224,"{45, 46}","{42, 44, 45, 46, 47}",196.95238095238093,7
4,197.53333333333333,"{16, 42, 44, 47}",1,111.73275975429617,{45},"{16, 42, 44, 45, 47}",197.73571428571427,7
5,198.78333333333333,"{39, 42, 44, 47, 16}",0,107.83169672832011,set(),"{16, 39, 42, 44, 47}",198.78333333333333,7
0,107.26749505329869,set(),1,111.07786769424796,{45},{45},111.07786769424796,8
1,201.12025987858036,{42},0,107.26749505329869,set(),{42},201.12025987858036,8
0,107.26749505329869,set(),2,115.23343242254771,"{37, 45}","{37, 45}",115.23343242254771,8
1,201.12025987858036,{42},1,111.07786769424796,{45},"{42, 45}",201.98945742939551,8
2,207.78626373626375,"{42, 44}",0,107.26749505329869,set(),"{42, 44}",207.78626373626375,8
0,107.26749505329869,set(),3,119.34319729696978,"{32, 37, 45}","{32, 37, 45}",119.34319729696978,8
1,201.12025987858036,{42},2,115.23343242254771,"{37, 45}","{42, 45, 37}",202.93972693972697,8
2,207.78626373626375,"{42, 44}",1,111.07786769424796,{45},"{42, 44, 45}",208.02991452991455,8
3,210.10769230769233,"{24, 42, 44}",0,107.26749505329869,set(),"{24, 42, 44}",210.10769230769233,8
0,107.26749505329869,set(),4,123.55150563294568,"{32, 8, 37, 45}","{32, 8, 37, 45}",123.55150563294568,8
1,201.12025987858036,{42},3,119.34319729696978,"{32, 37, 45}","{32, 42, 45, 37}",203.65161276631864,8
2,207.78626373626375,"{42, 44}",2,115.23343242254771,"{37, 45}","{42, 45, 44, 37}",208.1965811965812,8
3,210.10769230769233,"{24, 42, 44}",1,111.07786769424796,{45},"{24, 42, 44, 45}",210.15213675213678,8
4,211.80769230769232,"{24, 42, 44, 12}",0,107.26749505329869,set(),"{24, 42, 44, 12}",211.80769230769232,8
0,107.26749505329869,set(),5,127.82309895289661,"{32, 37, 8, 45, 46}","{32, 37, 8, 45, 46}",127.82309895289661,8
1,201.12025987858036,{42},4,123.55150563294568,"{32, 8, 37, 45}","{32, 37, 8, 42, 45}",204.8167388167388,8
2,207.78626373626375,"{42, 44}",3,119.34319729696978,"{32, 37, 45}","{32, 37, 42, 44, 45}",208.77777777777777,8
3,210.10769230769233,"{24, 42, 44}",2,115.23343242254771,"{37, 45}","{37, 24, 42, 44, 45}",210.15213675213678,8
4,211.80769230769232,"{24, 42, 44, 12}",1,111.07786769424796,{45},"{45, 24, 42, 44, 12}",211.80769230769232,8
5,212.64102564102566,"{42, 44, 12, 18, 24}",0,107.26749505329869,set(),"{18, 24, 42, 44, 12}",212.64102564102566,8
0,106.47523814257033,set(),1,110.16990154244016,{45},{45},110.16990154244016,9
1,212.33983588874892,{42},0,106.47523814257033,set(),{42},212.33983588874892,9
0,106.47523814257033,set(),2,113.47945505553861,"{37, 45}","{37, 45}",113.47945505553861,9
1,212.33983588874892,{42},1,110.16990154244016,{45},"{42, 45}",213.25811965811968,9
2,216.64285714285714,"{42, 44}",0,106.47523814257033,set(),"{42, 44}",216.64285714285714,9
0,106.47523814257033,set(),3,117.09129863786609,"{8, 37, 45}","{8, 37, 45}",117.09129863786609,9
1,212.33983588874892,{42},2,113.47945505553861,"{37, 45}","{42, 45, 37}",213.60891330891332,9
2,216.64285714285714,"{42, 44}",1,110.16990154244016,{45},"{42, 44, 45}",217.1984126984127,9
