K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
1,144.4285714285715,{2},137.7142857142858,{6},144.4285714285715,{2},130.2857142857143,{7},204.0,"{0, 2, 38, 6, 9, 21, 28}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0487551867219915,0.7079831932773113,0.675070028011205,1.1085526315789478,0.7079831932773113,0.638655462184874,0.046395063400268555,0.0012989044189453125,7,206,39,studentmath (30),6
2,172.00000000000003,"{2, 38}",155.00000000000003,"{0, 6}",172.00000000000003,"{2, 38}",136.4285714285715,"{1, 7}",204.0,"{0, 2, 38, 6, 9, 21, 28}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1096774193548387,0.8431372549019609,0.7598039215686276,1.2607329842931934,0.8431372549019609,0.6687675070028015,0.08609604835510254,0.001165151596069336,7,206,39,studentmath (30),6
3,182.85714285714283,"{0, 2, 38}",159.7142857142857,"{0, 27, 6}",182.85714285714283,"{0, 2, 38}",141.14285714285725,"{1, 18, 7}",204.0,"{0, 2, 38, 6, 9, 21, 28}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.144901610017889,0.8963585434173669,0.7829131652661063,1.2955465587044523,0.8963585434173669,0.6918767507002807,0.1315913200378418,0.0014567375183105469,7,206,39,studentmath (30),6
4,191.42857142857144,"{0, 2, 28, 38}",176.1428571428571,"{0, 27, 6, 7}",191.42857142857144,"{0, 2, 28, 38}",141.76190476190484,"{1, 18, 15, 7}",204.0,"{0, 2, 38, 6, 9, 21, 28}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0867802108678024,0.9383753501400561,0.8634453781512603,1.3503527040644938,0.9383753501400561,0.6949112978524747,0.16849207878112793,0.0015511512756347656,7,206,39,studentmath (30),6
5,197.71428571428575,"{0, 2, 38, 6, 28}",180.28571428571428,"{0, 7, 6, 39, 27}",197.71428571428575,"{0, 2, 38, 6, 28}",142.1619047619048,"{1, 7, 14, 15, 18}",204.0,"{0, 2, 38, 6, 9, 21, 28}",204,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0966719492868466,0.9691876750700282,0.8837535014005602,1.3907684062437193,0.9691876750700282,0.6968720821662,0.2598857879638672,0.0015621185302734375,7,206,39,studentmath (30),6
1,151.25,{2},142.5,{6},151.25,{2},132.875,{7},205.0,"{0, 2, 38, 6, 9, 21, 28}",205,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0614035087719298,0.7378048780487805,0.6951219512195121,1.1382878645343368,0.7378048780487805,0.6481707317073171,0.0606229305267334,0.0011560916900634766,8,206,39,studentmath (30),7
2,178.5,"{2, 38}",160.75,"{0, 6}",178.5,"{2, 38}",140.125,"{1, 7}",205.0,"{0, 2, 38, 6, 9, 21, 28}",205,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1104199066874028,0.8707317073170732,0.7841463414634147,1.2738626226583407,0.8707317073170732,0.6835365853658537,0.10659670829772949,0.0008091926574707031,8,206,39,studentmath (30),7
3,188.25,"{0, 2, 38}",165.375,"{0, 27, 6}",188.25,"{0, 2, 38}",145.625,"{1, 18, 7}",205.0,"{0, 2, 38, 6, 9, 21, 28}",205,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.1383219954648527,0.9182926829268293,0.8067073170731708,1.2927038626609442,0.9182926829268293,0.7103658536585366,0.14494895935058594,0.0015459060668945312,8,206,39,studentmath (30),7
4,195.875,"{0, 2, 28, 38}",179.625,"{0, 27, 6, 7}",195.875,"{0, 2, 28, 38}",146.125,"{1, 18, 15, 7}",205.0,"{0, 2, 38, 6, 9, 21, 28}",205,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0904662491301322,0.9554878048780487,0.876219512195122,1.3404619332763046,0.9554878048780487,0.7128048780487805,0.1936490535736084,0.0015459060668945312,8,206,39,studentmath (30),7
5,200.75,"{0, 2, 38, 6, 28}",182.875,"{0, 7, 6, 39, 27}",200.75,"{0, 2, 38, 6, 28}",146.51785714285714,"{1, 7, 14, 15, 18}",205.0,"{0, 2, 38, 6, 9, 21, 28}",205,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0977443609022557,0.9792682926829268,0.8920731707317073,1.3701401584399757,0.9792682926829268,0.7147212543554007,0.24542903900146484,0.0014798641204833984,8,206,39,studentmath (30),7
