[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
0,97.95856435731915,set(),4,108.01762466033666,"{8, 3, 36, 15}","{8, 3, 36, 15}",108.01762466033666,7
1,165.7533055695594,{6},3,107.4225039559711,"{8, 3, 36}","{8, 3, 36, 6}",167.64059530081198,7
2,176.62612621296827,"{0, 6}",2,102.52441943007561,"{8, 36}","{0, 8, 36, 6}",176.90560224089631,7
3,181.19315918000123,"{0, 27, 6}",1,100.20900801098774,{36},"{0, 27, 36, 6}",181.28571428571422,7
4,183.3412698412698,"{0, 27, 6, 7}",0,97.95856435731915,set(),"{0, 27, 6, 7}",183.3412698412698,7
0,97.95856435731915,set(),5,110.13642171605157,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",110.13642171605157,7
1,165.7533055695594,{6},4,108.01762466033666,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",168.0810714912882,7
2,176.62612621296827,"{0, 6}",3,107.4225039559711,"{8, 3, 36}","{0, 3, 36, 6, 8}",177.55874819624822,7
3,181.19315918000123,"{0, 27, 6}",2,102.52441943007561,"{8, 36}","{0, 36, 6, 8, 27}",181.3508403361344,7
4,183.3412698412698,"{0, 27, 6, 7}",1,100.20900801098774,{36},"{0, 36, 6, 7, 27}",183.36904761904756,7
5,183.3412698412698,"{0, 6, 39, 7, 27}",0,97.95856435731915,set(),"{0, 7, 6, 39, 27}",183.3412698412698,7
0,97.44815332564832,set(),1,99.77838705589481,{36},{36},99.77838705589481,8
1,182.0482094728457,{6},0,97.44815332564832,set(),{6},182.0482094728457,8
0,97.44815332564832,set(),2,102.066086992227,"{8, 36}","{8, 36}",102.066086992227,8
1,182.0482094728457,{6},1,99.77838705589481,{36},"{36, 6}",182.20318782782408,8
2,186.9065249808671,"{0, 6}",0,97.44815332564832,set(),"{0, 6}",186.9065249808671,8
0,97.44815332564832,set(),3,106.28759451045104,"{8, 3, 36}","{8, 3, 36}",106.28759451045104,8
1,182.0482094728457,{6},2,102.066086992227,"{8, 36}","{8, 36, 6}",182.33245434304257,8
2,186.9065249808671,"{0, 6}",1,99.77838705589481,{36},"{0, 36, 6}",186.93284077034076,8
3,188.8286741036741,"{0, 27, 6}",0,97.44815332564832,set(),"{0, 27, 6}",188.8286741036741,8
0,97.44815332564832,set(),4,107.06901917980373,"{8, 3, 36, 15}","{8, 3, 36, 15}",107.06901917980373,8
1,182.0482094728457,{6},3,106.28759451045104,"{8, 3, 36}","{8, 3, 36, 6}",183.0595962946582,8
2,186.9065249808671,"{0, 6}",2,102.066086992227,"{8, 36}","{0, 8, 36, 6}",187.00960101989514,8
3,188.8286741036741,"{0, 27, 6}",1,99.77838705589481,{36},"{0, 27, 36, 6}",188.8286741036741,8
4,190.49213564213565,"{0, 27, 6, 7}",0,97.44815332564832,set(),"{0, 27, 6, 7}",190.49213564213565,8
0,97.44815332564832,set(),5,109.21628085188274,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",109.21628085188274,8
1,182.0482094728457,{6},4,107.06901917980373,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",183.3383841734461,8
2,186.9065249808671,"{0, 6}",3,106.28759451045104,"{8, 3, 36}","{0, 3, 36, 6, 8}",187.4305375180375,8
3,188.8286741036741,"{0, 27, 6}",2,102.066086992227,"{8, 36}","{0, 36, 6, 8, 27}",188.8468559218559,8
4,190.49213564213565,"{0, 27, 6, 7}",1,99.77838705589481,{36},"{0, 36, 6, 7, 27}",190.49213564213565,8
5,190.49213564213565,"{0, 6, 39, 7, 27}",0,97.44815332564832,set(),"{0, 7, 6, 39, 27}",190.49213564213565,8
0,98.39984018958461,set(),1,100.80634984886547,{36},{36},100.80634984886547,9
1,193.45071352915343,{6},0,98.39984018958461,set(),{6},193.45071352915343,9
0,98.39984018958461,set(),2,103.19587408995673,"{8, 36}","{8, 36}",103.19587408995673,9
1,193.45071352915343,{6},1,100.80634984886547,{36},"{36, 6}",193.58543214387203,9
2,197.0739475500345,"{0, 6}",0,98.39984018958461,set(),"{0, 6}",197.0739475500345,9
0,98.39984018958461,set(),3,106.9193689630861,"{8, 3, 36}","{8, 3, 36}",106.9193689630861,9
1,193.45071352915343,{6},2,103.19587408995673,"{8, 36}","{8, 36, 6}",193.6071712743068,9
2,197.0739475500345,"{0, 6}",1,100.80634984886547,{36},"{0, 36, 6}",197.14537612146307,9
3,197.50873015873017,"{0, 27, 6}",0,98.39984018958461,set(),"{0, 27, 6}",197.50873015873017,9
0,98.39984018958461,set(),4,108.16103001787953,"{8, 3, 36, 15}","{8, 3, 36, 15}",108.16103001787953,9
1,193.45071352915343,{6},3,106.9193689630861,"{8, 3, 36}","{8, 3, 36, 6}",194.0241868425692,9
2,197.0739475500345,"{0, 6}",2,103.19587408995673,"{8, 36}","{0, 8, 36, 6}",197.14537612146307,9
3,197.50873015873017,"{0, 27, 6}",1,100.80634984886547,{36},"{0, 27, 36, 6}",197.58015873015876,9
4,198.30873015873016,"{0, 27, 6, 7}",0,98.39984018958461,set(),"{0, 27, 6, 7}",198.30873015873016,9
0,98.39984018958461,set(),5,110.94672850053784,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",110.94672850053784,9
1,193.45071352915343,{6},4,108.16103001787953,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",194.20147621985856,9
2,197.0739475500345,"{0, 6}",3,106.9193689630861,"{8, 3, 36}","{0, 3, 36, 6, 8}",197.36233766233767,9
3,197.50873015873017,"{0, 27, 6}",2,103.19587408995673,"{8, 36}","{0, 36, 6, 8, 27}",197.58015873015876,9
4,198.30873015873016,"{0, 27, 6, 7}",1,100.80634984886547,{36},"{0, 36, 6, 7, 27}",198.38015873015874,9
5,198.30873015873016,"{0, 6, 39, 7, 27}",0,98.39984018958461,set(),"{0, 7, 6, 39, 27}",198.30873015873016,9
0,96.0839533827435,set(),1,98.4922535372135,{36},{36},98.4922535372135,10
1,197.95024142524142,{6},0,96.0839533827435,set(),{6},197.95024142524142,10
0,96.0839533827435,set(),2,101.01956689570788,"{8, 36}","{8, 36}",101.01956689570788,10
1,197.95024142524142,{6},1,98.4922535372135,{36},"{36, 6}",198.00049783549784,10
2,200.5642857142857,"{0, 6}",0,96.0839533827435,set(),"{0, 6}",200.5642857142857,10
0,96.0839533827435,set(),3,104.27864096397097,"{8, 3, 36}","{8, 3, 36}",104.27864096397097,10
1,197.95024142524142,{6},2,101.01956689570788,"{8, 36}","{8, 36, 6}",198.04595238095234,10
2,200.5642857142857,"{0, 6}",1,98.4922535372135,{36},"{0, 36, 6}",200.5642857142857,10
3,200.5642857142857,"{0, 27, 6}",0,96.0839533827435,set(),"{0, 27, 6}",200.5642857142857,10
0,96.0839533827435,set(),4,106.2085363732113,"{8, 3, 36, 15}","{8, 3, 36, 15}",106.2085363732113,10
1,197.95024142524142,{6},3,104.27864096397097,"{8, 3, 36}","{8, 3, 36, 6}",198.21374948580834,10
2,200.5642857142857,"{0, 6}",2,101.01956689570788,"{8, 36}","{0, 8, 36, 6}",200.5642857142857,10
3,200.5642857142857,"{0, 27, 6}",1,98.4922535372135,{36},"{0, 27, 36, 6}",200.5642857142857,10
4,201.23095238095237,"{0, 27, 6, 7}",0,96.0839533827435,set(),"{0, 27, 6, 7}",201.23095238095237,10
0,96.0839533827435,set(),5,109.19688975030935,"{3, 36, 8, 14, 15}","{3, 36, 8, 14, 15}",109.19688975030935,10
1,197.95024142524142,{6},4,106.2085363732113,"{8, 3, 36, 15}","{3, 36, 6, 8, 15}",198.39091676297562,10
2,200.5642857142857,"{0, 6}",3,104.27864096397097,"{8, 3, 36}","{0, 3, 36, 6, 8}",200.61107226107225,10
3,200.5642857142857,"{0, 27, 6}",2,101.01956689570788,"{8, 36}","{0, 36, 6, 8, 27}",200.5642857142857,10
4,201.23095238095237,"{0, 27, 6, 7}",1,98.4922535372135,{36},"{0, 36, 6, 7, 27}",201.23095238095237,10
5,201.23095238095237,"{0, 6, 39, 7, 27}",0,96.0839533827435,set(),"{0, 7, 6, 39, 27}",201.23095238095237,10
0,93.60485813707538,set(),1,96.01257069166263,{36},{36},96.01257069166263,11
1,203.0818181818182,{6},0,93.60485813707538,set(),{6},203.0818181818182,11
0,93.60485813707538,set(),2,98.57623558255906,"{8, 36}","{8, 36}",98.57623558255906,11
1,203.0818181818182,{6},1,96.01257069166263,{36},"{36, 6}",203.0818181818182,11
2,203.0818181818182,"{0, 6}",0,93.60485813707538,set(),"{0, 6}",203.0818181818182,11
0,93.60485813707538,set(),3,101.62765260304336,"{8, 3, 36}","{8, 3, 36}",101.62765260304336,11
1,203.0818181818182,{6},2,98.57623558255906,"{8, 36}","{8, 36, 6}",203.0818181818182,11
2,203.0818181818182,"{0, 6}",1,96.01257069166263,{36},"{0, 36, 6}",203.0818181818182,11
3,203.9,"{0, 27, 6}",0,93.60485813707538,set(),"{0, 27, 6}",203.9,11
0,93.60485813707538,set(),4,104.12584122546741,"{8, 3, 36, 15}","{8, 3, 36, 15}",104.12584122546741,11
1,203.0818181818182,{6},3,101.62765260304336,"{8, 3, 36}","{8, 3, 36, 6}",203.1818181818182,11
