[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
5,157.19999999999993,"{0, 44, 12, 18, 19}",0,118.99999999999993,set(),"{0, 18, 19, 44, 12}",157.19999999999993,4
0,121.16666666666667,set(),1,122.2333333333333,{36},{36},122.2333333333333,5
1,144.66666666666669,{44},0,121.16666666666667,set(),{44},144.66666666666669,5
0,121.16666666666667,set(),2,123.13333333333333,"{36, 4}","{36, 4}",123.13333333333333,5
1,144.66666666666669,{44},1,122.2333333333333,{36},"{44, 36}",145.7333333333334,5
2,157.66666666666666,"{44, 12}",0,121.16666666666667,set(),"{44, 12}",157.66666666666666,5
0,121.16666666666667,set(),3,123.93333333333334,"{1, 36, 4}","{1, 36, 4}",123.93333333333334,5
1,144.66666666666669,{44},2,123.13333333333333,"{36, 4}","{44, 4, 36}",146.56666666666672,5
2,157.66666666666666,"{44, 12}",1,122.2333333333333,{36},"{44, 12, 36}",158.46666666666673,5
3,162.66666666666669,"{0, 44, 12}",0,121.16666666666667,set(),"{0, 44, 12}",162.66666666666669,5
0,121.16666666666667,set(),4,124.43333333333335,"{40, 1, 36, 4}","{40, 1, 36, 4}",124.43333333333335,5
1,144.66666666666669,{44},3,123.93333333333334,"{1, 36, 4}","{1, 44, 4, 36}",147.36666666666673,5
2,157.66666666666666,"{44, 12}",2,123.13333333333333,"{36, 4}","{4, 44, 12, 36}",159.26666666666674,5
3,162.66666666666669,"{0, 44, 12}",1,122.2333333333333,{36},"{0, 44, 12, 36}",163.46666666666675,5
4,164.33333333333334,"{0, 19, 44, 12}",0,121.16666666666667,set(),"{0, 19, 44, 12}",164.33333333333334,5
0,121.16666666666667,set(),5,124.70000000000002,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",124.70000000000002,5
1,144.66666666666669,{44},4,124.43333333333335,"{40, 1, 36, 4}","{1, 36, 4, 40, 44}",147.76666666666674,5
2,157.66666666666666,"{44, 12}",3,123.93333333333334,"{1, 36, 4}","{1, 36, 4, 44, 12}",159.7333333333334,5
3,162.66666666666669,"{0, 44, 12}",2,123.13333333333333,"{36, 4}","{0, 36, 4, 44, 12}",164.26666666666674,5
4,164.33333333333334,"{0, 19, 44, 12}",1,122.2333333333333,{36},"{0, 19, 36, 44, 12}",165.1333333333334,5
5,168.66666666666666,"{0, 44, 12, 18, 19}",0,121.16666666666667,set(),"{0, 18, 19, 44, 12}",168.66666666666666,5
0,121.0,set(),1,122.02380952380953,{36},{36},122.02380952380953,6
1,146.8571428571428,{44},0,121.0,set(),{44},146.8571428571428,6
0,121.0,set(),2,122.92857142857143,"{36, 4}","{36, 4}",122.92857142857143,6
1,146.8571428571428,{44},1,122.02380952380953,{36},"{44, 36}",147.76190476190465,6
2,164.42857142857133,"{44, 12}",0,121.0,set(),"{44, 12}",164.42857142857133,6
0,121.0,set(),3,123.71428571428568,"{1, 36, 4}","{1, 36, 4}",123.71428571428568,6
1,146.8571428571428,{44},2,122.92857142857143,"{36, 4}","{44, 4, 36}",148.595238095238,6
2,164.42857142857133,"{44, 12}",1,122.02380952380953,{36},"{44, 12, 36}",165.09523809523793,6
3,167.85714285714275,"{0, 44, 12}",0,121.0,set(),"{0, 44, 12}",167.85714285714275,6
0,121.0,set(),4,124.2380952380952,"{40, 1, 36, 4}","{40, 1, 36, 4}",124.2380952380952,6
1,146.8571428571428,{44},3,123.71428571428568,"{1, 36, 4}","{1, 44, 4, 36}",149.3809523809523,6
2,164.42857142857133,"{44, 12}",2,122.92857142857143,"{36, 4}","{4, 44, 12, 36}",165.8095238095237,6
3,167.85714285714275,"{0, 44, 12}",1,122.02380952380953,{36},"{0, 44, 12, 36}",168.52380952380938,6
4,169.71428571428564,"{0, 19, 44, 12}",0,121.0,set(),"{0, 19, 44, 12}",169.71428571428564,6
0,121.0,set(),5,124.56666666666663,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",124.56666666666663,6
1,146.8571428571428,{44},4,124.2380952380952,"{40, 1, 36, 4}","{1, 36, 4, 40, 44}",149.8095238095237,6
2,164.42857142857133,"{44, 12}",3,123.71428571428568,"{1, 36, 4}","{1, 36, 4, 44, 12}",166.19047619047612,6
3,167.85714285714275,"{0, 44, 12}",2,122.92857142857143,"{36, 4}","{0, 36, 4, 44, 12}",169.23809523809513,6
4,169.71428571428564,"{0, 19, 44, 12}",1,122.02380952380953,{36},"{0, 19, 36, 44, 12}",170.38095238095224,6
5,175.85714285714278,"{0, 44, 12, 18, 19}",0,121.0,set(),"{0, 18, 19, 44, 12}",175.85714285714278,6
0,121.75,set(),1,122.8392857142857,{36},{36},122.8392857142857,7
1,153.625,{44},0,121.75,set(),{44},153.625,7
0,121.75,set(),2,123.67857142857143,"{36, 4}","{36, 4}",123.67857142857143,7
1,153.625,{44},1,122.8392857142857,{36},"{44, 36}",154.62500000000003,7
2,173.0,"{44, 12}",0,121.75,set(),"{44, 12}",173.0,7
0,121.75,set(),3,124.57142857142857,"{1, 36, 4}","{1, 36, 4}",124.57142857142857,7
1,153.625,{44},2,123.67857142857143,"{36, 4}","{44, 4, 36}",155.23214285714286,7
2,173.0,"{44, 12}",1,122.8392857142857,{36},"{44, 12, 36}",173.71428571428572,7
3,177.25,"{0, 44, 12}",0,121.75,set(),"{0, 44, 12}",177.25,7
0,121.75,set(),4,125.14285714285714,"{40, 1, 36, 4}","{40, 1, 36, 4}",125.14285714285714,7
1,153.625,{44},3,124.57142857142857,"{1, 36, 4}","{1, 44, 4, 36}",156.12499999999994,7
2,173.0,"{44, 12}",2,123.67857142857143,"{36, 4}","{4, 44, 12, 36}",174.21428571428572,7
3,177.25,"{0, 44, 12}",1,122.8392857142857,{36},"{0, 44, 12, 36}",177.96428571428572,7
4,180.0,"{0, 19, 44, 12}",0,121.75,set(),"{0, 19, 44, 12}",180.0,7
0,121.75,set(),5,125.82142857142856,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",125.82142857142856,7
1,153.625,{44},4,125.14285714285714,"{40, 1, 36, 4}","{1, 36, 4, 40, 44}",156.62499999999997,7
2,173.0,"{44, 12}",3,124.57142857142857,"{1, 36, 4}","{1, 36, 4, 44, 12}",174.64285714285714,7
3,177.25,"{0, 44, 12}",2,123.67857142857143,"{36, 4}","{0, 36, 4, 44, 12}",178.46428571428572,7
4,180.0,"{0, 19, 44, 12}",1,122.8392857142857,{36},"{0, 19, 36, 44, 12}",180.71428571428572,7
5,185.125,"{0, 44, 12, 18, 19}",0,121.75,set(),"{0, 18, 19, 44, 12}",185.125,7
0,123.33333333333336,set(),1,124.33333333333336,{36},{36},124.33333333333336,8
1,159.33333333333337,{44},0,123.33333333333336,set(),{44},159.33333333333337,8
0,123.33333333333336,set(),2,125.19444444444446,"{36, 4}","{36, 4}",125.19444444444446,8
1,159.33333333333337,{44},1,124.33333333333336,{36},"{44, 36}",160.2638888888889,8
2,179.44444444444446,"{44, 12}",0,123.33333333333336,set(),"{44, 12}",179.44444444444446,8
0,123.33333333333336,set(),3,126.1388888888889,"{1, 36, 4}","{1, 36, 4}",126.1388888888889,8
1,159.33333333333337,{44},2,125.19444444444446,"{36, 4}","{44, 4, 36}",160.76388888888889,8
2,179.44444444444446,"{44, 12}",1,124.33333333333336,{36},"{44, 12, 36}",180.13888888888889,8
3,184.22222222222229,"{0, 44, 12}",0,123.33333333333336,set(),"{0, 44, 12}",184.22222222222229,8
0,123.33333333333336,set(),4,126.7797619047619,"{40, 1, 36, 4}","{40, 1, 36, 4}",126.7797619047619,8
1,159.33333333333337,{44},3,126.1388888888889,"{1, 36, 4}","{1, 44, 4, 36}",161.7083333333333,8
2,179.44444444444446,"{44, 12}",2,125.19444444444446,"{36, 4}","{4, 44, 12, 36}",180.54166666666666,8
3,184.22222222222229,"{0, 44, 12}",1,124.33333333333336,{36},"{0, 44, 12, 36}",184.91666666666674,8
4,186.11111111111117,"{0, 19, 44, 12}",0,123.33333333333336,set(),"{0, 19, 44, 12}",186.11111111111117,8
0,123.33333333333336,set(),5,127.50396825396824,"{1, 36, 4, 40, 11}","{1, 36, 4, 40, 11}",127.50396825396824,8
