K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
3,64.28095238095239,"{42, 44, 14}",59.02806637806638,"{0, 24, 13}",64.28095238095239,"{42, 44, 14}",56.695923520923515,"{8, 1, 26}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.088989633664129,0.9594171997157073,0.881015916090543,1.133784377940852,0.9594171997157073,0.8462078137451271,0.07934808731079102,0.0008139610290527344,5.5,224,39,studentportuguese (30),3
4,65.66666666666666,"{42, 44, 12, 14}",59.02806637806638,"{0, 24, 5, 13}",65.66666666666666,"{42, 44, 12, 14}",57.02925685425685,"{8, 1, 26, 23}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.112465149139072,0.9800995024875621,0.881015916090543,1.1514557665459932,0.9800995024875621,0.8511829381232365,0.09952807426452637,0.000453948974609375,5.5,224,39,studentportuguese (30),3
5,66.5,"{24, 42, 44, 12, 14}",62.93333333333334,"{0, 23, 24, 42, 13}",66.5,"{42, 44, 12, 14, 24}",57.179256854256856,"{1, 8, 20, 23, 26}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0566737288135593,0.9925373134328358,0.9393034825870648,1.1630091690331095,0.9925373134328358,0.8534217440933859,0.14204978942871094,0.0008721351623535156,5.5,224,39,studentportuguese (30),3
1,90.50079365079364,{41},78.19915173742066,{13},90.50079365079364,{41},76.2986297920458,{46},107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1573117053069806,0.8458018098205013,0.7308331938076698,1.1861391731077775,0.8458018098205013,0.7130713064677178,0.04581618309020996,0.0011088848114013672,6.0,224,44,studentportuguese (30),4
2,94.84761904761903,"{41, 44}",83.24867583396995,"{0, 13}",94.84761904761903,"{41, 44}",77.15858968509392,"{8, 46}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1393288613596912,0.8864263462394302,0.7780250077941118,1.2292554780319218,0.8864263462394302,0.7211083148139619,0.07091593742370605,0.001093149185180664,6.0,224,44,studentportuguese (30),4
3,98.48571428571427,"{41, 42, 44}",87.54519989814106,"{0, 24, 13}",98.48571428571427,"{41, 42, 44}",77.32525635176059,"{8, 1, 46}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1249698944122866,0.9204272363150866,0.8181794383003838,1.2736551927832294,0.9204272363150866,0.7226659472127157,0.14409804344177246,0.001127004623413086,6.0,224,44,studentportuguese (30),4
4,100.15238095238094,"{41, 42, 18, 44}",89.10620278414395,"{0, 24, 45, 13}",100.15238095238094,"{41, 42, 18, 44}",77.61374841525264,"{8, 1, 21, 46}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.123966433571363,0.9360035603026255,0.8327682503191023,1.2903948462396257,0.9360035603026255,0.7253621347219873,0.16448211669921875,0.0011126995086669922,6.0,224,44,studentportuguese (30),4
5,101.55238095238096,"{18, 41, 42, 44, 47}",93.7940476190476,"{0, 23, 24, 42, 13}",101.55238095238096,"{41, 42, 44, 47, 18}",86.25579004329002,"{1, 8, 46, 18, 21}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0827166918400246,0.9490876724521585,0.8765798842901645,1.1773398736642942,0.9490876724521585,0.8061288789092526,0.1799478530883789,0.0006320476531982422,6.0,224,44,studentportuguese (30),4
1,128.60263347763347,{42},122.3719914072855,{47},128.60263347763347,{42},128.60263347763347,{42},154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0509155894146627,0.8350820355690486,0.7946233208265293,1.0,0.8350820355690486,0.8350820355690486,0.06543517112731934,0.001013040542602539,6.5,224,48,studentportuguese (30),5
2,138.67023809523806,"{42, 44}",123.89256715506716,"{37, 47}",138.67023809523806,"{42, 44}",129.57968975468978,"{42, 7}",154.0,"{6, 41, 42, 44, 13, 14, 47, 24, 26, 27, 28}",154,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1192781074725393,0.9004560915275199,0.8044971893186179,1.0701541141035127,0.9004560915275199,0.841426556848635,0.14240097999572754,0.0007958412170410156,6.5,224,48,studentportuguese (30),5
