K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
3,"{42, 44, 28}",178.39999999999998,"{40, 1, 7}",122.9999999999999,"{42, 44, 28}",178.39999999999998,"{0, 44, 12}",151.79999999999993,178.39999999999998,"{42, 28, 44}",1.0,0.6894618834080712,1.0,0.8508968609865468,15.45097017288208,5,224,50,studentportuguese (30),4
4,"{42, 44, 28, 47}",186.2,"{40, 1, 47, 7}",137.7499999999999,"{42, 44, 28, 47}",186.2,"{0, 44, 12, 36}",152.64999999999995,186.20000000000002,"{42, 28, 44, 47}",0.9999999999999999,0.7397959183673463,0.9999999999999999,0.819817400644468,188.72137069702148,5,224,50,studentportuguese (30),4
5,"{41, 42, 44, 47, 28}",192.2,"{1, 7, 40, 47, 17}",138.64999999999986,"{41, 42, 44, 28, 47}",192.2,"{0, 18, 19, 44, 12}",157.19999999999993,192.2,"{41, 42, 44, 47, 28}",1.0,0.7213839750260139,1.0,0.8178980228928197,1762.051488161087,5,224,50,studentportuguese (30),4
1,{42},156.3333333333334,{40},121.66666666666669,{42},156.3333333333334,{44},144.66666666666669,156.3333333333334,{42},1.0,0.7782515991471213,1.0,0.9253731343283579,0.04259181022644043,6,224,50,studentportuguese (30),5
2,"{42, 44}",178.16666666666669,"{40, 7}",124.63333333333333,"{42, 44}",178.16666666666669,"{44, 12}",157.66666666666666,178.16666666666669,"{42, 44}",1.0,0.6995322731524788,1.0,0.8849391955098221,1.1163330078125,6,224,50,studentportuguese (30),5
3,"{41, 42, 44}",188.16666666666669,"{40, 1, 7}",125.43333333333334,"{41, 42, 44}",188.16666666666669,"{0, 44, 12}",162.66666666666669,188.16666666666669,"{41, 42, 44}",1.0,0.666607617360496,1.0,0.8644818423383526,17.242376804351807,6,224,50,studentportuguese (30),5
4,"{41, 42, 44, 28}",195.3333333333334,"{40, 1, 47, 7}",143.93333333333337,"{41, 42, 44, 28}",195.3333333333334,"{0, 19, 44, 12}",164.33333333333334,195.3333333333334,"{41, 42, 28, 44}",1.0,0.7368600682593855,1.0,0.8412969283276448,215.2310070991516,6,224,50,studentportuguese (30),5
5,"{41, 42, 44, 47, 28}",200.50000000000009,"{1, 7, 40, 47, 17}",145.03333333333333,"{41, 42, 44, 28, 47}",200.50000000000009,"{0, 18, 19, 44, 12}",168.66666666666666,200.50000000000006,"{41, 42, 44, 47, 28}",1.0000000000000002,0.7233582709891935,1.0000000000000002,0.8412302576891103,1973.88014793396,6,224,50,studentportuguese (30),5
1,{42},161.99999999999983,{40},121.52380952380952,{42},161.99999999999983,{44},146.8571428571428,161.99999999999983,{42},1.0,0.7501469723691954,1.0,0.9065255731922405,0.04211091995239258,7,224,50,studentportuguese (30),6
2,"{42, 44}",183.14285714285705,"{40, 7}",124.7142857142857,"{42, 44}",183.14285714285705,"{44, 12}",164.42857142857133,183.14285714285705,"{42, 44}",1.0,0.6809672386895478,1.0,0.8978159126365054,1.041126012802124,7,224,50,studentportuguese (30),6
