K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,dataset,graphid
4,144.51666666666665,"{0, 2, 28, 38}",135.25357142857146,"{0, 27, 6, 7}",144.51666666666665,"{0, 2, 28, 38}",116.4216797091797,"{1, 18, 15, 7}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0684868809027133,0.957064017660044,0.8957190160832547,1.2413209208771767,0.957064017660044,0.771004501385296,0.2541823387145996,0.0014009475708007812,6.5,206,39,studentmath (30),5
5,147.16666666666663,"{0, 2, 38, 27, 28}",136.58690476190478,"{0, 7, 6, 39, 27}",147.16666666666663,"{0, 2, 38, 27, 28}",116.55223526473526,"{1, 7, 14, 15, 18}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0774580983675137,0.9746136865342161,0.9045490381583098,1.262667046516904,0.9746136865342161,0.7718691077134785,0.34502387046813965,0.0014040470123291016,6.5,206,39,studentmath (30),5
1,151.4931748806749,{38},144.19353587588884,{6},151.4931748806749,{38},142.19634383933922,{7},174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0506238990565364,0.8706504303487064,0.8286984820453381,1.0653802396764838,0.8706504303487064,0.8172203668927541,0.17396903038024902,0.008466958999633789,7.0,206,39,studentmath (30),6
2,161.99740259740264,"{2, 38}",155.7431651681652,"{0, 6}",161.99740259740264,"{2, 38}",145.01197265496805,"{1, 7}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0401573797635637,0.9310195551574865,0.895075661886007,1.1171312246254907,0.9310195551574865,0.8334021416952186,0.1699378490447998,0.0018849372863769531,7.0,206,39,studentmath (30),6
3,167.2069264069264,"{0, 2, 38}",157.9098318348319,"{0, 27, 6}",167.2069264069264,"{0, 2, 38}",149.4117007046961,"{1, 18, 7}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0588759703184216,0.9609593471662438,0.9075277691657005,1.119101955324112,0.9609593471662438,0.8586879350844604,0.27024221420288086,0.012629032135009766,7.0,206,39,studentmath (30),6
4,169.0857142857143,"{0, 2, 38, 6}",162.6925518925519,"{0, 27, 6, 7}",169.0857142857143,"{0, 2, 38, 6}",149.43551022850562,"{1, 18, 15, 7}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0392959746392365,0.9717569786535304,0.9350146660491488,1.131496215505679,0.9717569786535304,0.8588247714281932,0.25624799728393555,0.0019958019256591797,7.0,206,39,studentmath (30),6
5,170.3,"{0, 2, 38, 6, 9}",164.1925518925519,"{0, 7, 6, 39, 27}",170.3,"{0, 2, 38, 6, 9}",149.6073051003005,"{1, 7, 14, 15, 18}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0371968645170022,0.9787356321839081,0.9436353557043213,1.1383133991072603,0.9787356321839081,0.8598120982775891,0.34319400787353516,0.0016939640045166016,7.0,206,39,studentmath (30),6
1,171.6685892538833,{2},165.7533055695594,{6},171.6685892538833,{2},162.0651484007908,{7},191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.035687274314065,0.8987884254130016,0.8678183537673266,1.0592566689868632,0.8987884254130016,0.8485086303706325,0.10615181922912598,0.0026438236236572266,7.5,206,39,studentmath (30),7
2,181.20476190476188,"{2, 38}",176.62612621296827,"{0, 6}",181.20476190476188,"{2, 38}",165.87367934353227,"{1, 7}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0259227544076515,0.9487160309149837,0.9247441162982633,1.0924262524464667,0.9487160309149837,0.8684485829504307,0.17295408248901367,0.0025479793548583984,7.5,206,39,studentmath (30),7
3,185.5984126984127,"{9, 2, 38}",181.19315918000123,"{0, 27, 6}",185.5984126984127,"{9, 2, 38}",168.26154115492346,"{1, 18, 7}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0243124714991871,0.9717194382115848,0.9486552836649279,1.1030352594210857,0.9717194382115848,0.8809504772509081,0.25073719024658203,0.0025649070739746094,7.5,206,39,studentmath (30),7
4,187.20555555555558,"{0, 9, 2, 38}",183.3412698412698,"{0, 27, 6, 7}",187.20555555555558,"{0, 9, 2, 38}",168.73758178096412,"{1, 18, 15, 7}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0210770096532622,0.9801337987201862,0.9599019363417267,1.1094478988004253,0.9801337987201862,0.8834428365495504,0.34917402267456055,0.0013718605041503906,7.5,206,39,studentmath (30),7
5,188.80555555555554,"{0, 2, 38, 9, 27}",183.36904761904756,"{0, 36, 6, 7, 27}",188.80555555555554,"{0, 2, 38, 9, 27}",169.54741084079322,"{1, 7, 14, 15, 18}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0296479040879485,0.9885107620709714,0.9600473697332333,1.1135856019225556,0.9885107620709714,0.8876827792711687,0.4081909656524658,0.0031423568725585938,7.5,206,39,studentmath (30),7
1,186.4421409278641,{2},182.0482094728457,{6},186.4421409278641,{2},174.05268589855925,{7},197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0241360871812024,0.9464068067404269,0.9241025861565773,1.0711822110951257,0.9464068067404269,0.8835161720739048,0.11028194427490234,0.002951383590698242,8.0,206,39,studentmath (30),8
2,191.67117604617604,"{2, 28}",186.9065249808671,"{0, 6}",191.67117604617604,"{2, 28}",179.0149483487527,"{1, 7}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0254921601361788,0.9729501322140915,0.9487640861972949,1.0706992785472125,0.9729501322140915,0.9087053215672727,0.2187051773071289,0.0025506019592285156,8.0,206,39,studentmath (30),8
3,194.14141414141415,"{24, 2, 28}",188.8286741036741,"{0, 27, 6}",194.14141414141415,"{24, 2, 28}",183.81582029082028,"{1, 18, 7}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0281352398567558,0.985489411885351,0.9585211883435234,1.0561735863336326,0.985489411885351,0.933075229902641,0.331143856048584,0.003515005111694336,8.0,206,39,studentmath (30),8
4,195.8080808080808,"{24, 9, 2, 28}",190.49213564213565,"{0, 27, 6, 7}",195.8080808080808,"{24, 9, 2, 28}",184.1939759071338,"{1, 18, 15, 7}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0279063760192801,0.9939496487719838,0.9669651555438358,1.0630536630948375,0.9939496487719838,0.9349948015590548,0.4086439609527588,0.0029039382934570312,8.0,206,39,studentmath (30),8
5,197.0,"{2, 6, 24, 9, 28}",190.49213564213565,"{0, 36, 6, 7, 27}",197.0,"{2, 6, 9, 24, 28}",184.40496818283194,"{1, 7, 14, 15, 18}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0341634279857632,1.0,0.9669651555438358,1.0683009353884678,1.0,0.9360658283392485,0.5434443950653076,0.0029268264770507812,8.0,206,39,studentmath (30),8
1,197.35777777777776,{2},193.45071352915343,{6},197.35777777777776,{2},188.17911529461622,{7},203.0,"{24, 2, 28, 7}",203,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0201966908125957,0.9722058018609742,0.9529591799465686,1.0487762016990636,0.9722058018609742,0.9269907157370257,0.12572216987609863,0.002299785614013672,8.5,206,39,studentmath (30),9
2,200.18333333333334,"{2, 28}",197.0739475500345,"{0, 6}",200.18333333333334,"{2, 28}",192.7086405529954,"{1, 7}",203.0,"{24, 2, 28, 7}",203,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0157777617079975,0.9861247947454844,0.9708076233991847,1.0387875331323422,0.9861247947454844,0.9493036480443123,0.33902907371520996,0.0038290023803710938,8.5,206,39,studentmath (30),9
3,202.2,"{24, 2, 28}",197.50873015873017,"{0, 27, 6}",202.2,"{24, 2, 28}",195.29249084249082,"{1, 18, 7}",203.0,"{24, 2, 28, 7}",203,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.023752215091959,0.9960591133004926,0.9729494096489171,1.035370070440037,0.9960591133004926,0.9620319745935508,0.4013197422027588,0.0019173622131347656,8.5,206,39,studentmath (30),9
