[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,90.7142857142857,"{2, 12}",2,83.42857142857136,"{29, 7}","{2, 12, 29, 7}",90.99999999999997,6
3,91.42857142857139,"{25, 2, 12}",1,83.14285714285707,{29},"{25, 2, 12, 29}",91.71428571428568,6
4,92.42857142857139,"{25, 2, 12, 22}",0,82.85714285714279,set(),"{25, 2, 12, 22}",92.42857142857139,6
0,82.85714285714279,set(),5,91.74761904761901,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",91.74761904761901,6
1,85.14285714285707,{12},4,89.37619047619046,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",90.18571428571427,6
2,90.7142857142857,"{2, 12}",3,85.85238095238093,"{34, 29, 7}","{2, 34, 7, 12, 29}",93.42380952380952,6
3,91.42857142857139,"{25, 2, 12}",2,83.42857142857136,"{29, 7}","{2, 7, 25, 12, 29}",91.71428571428568,6
4,92.42857142857139,"{25, 2, 12, 22}",1,83.14285714285707,{29},"{2, 22, 25, 12, 29}",92.71428571428568,6
5,93.42857142857139,"{2, 12, 21, 22, 25}",0,82.85714285714279,set(),"{2, 21, 22, 25, 12}",93.42857142857139,6
0,84.25,set(),1,84.5,{29},{29},84.5,7
1,87.625,{12},0,84.25,set(),{12},87.625,7
0,84.25,set(),2,84.73214285714285,"{29, 7}","{29, 7}",84.73214285714285,7
1,87.625,{12},1,84.5,{29},"{12, 29}",87.875,7
2,93.125,"{2, 12}",0,84.25,set(),"{2, 12}",93.125,7
0,84.25,set(),3,86.88690476190472,"{34, 29, 7}","{34, 29, 7}",86.88690476190472,7
1,87.625,{12},2,84.73214285714285,"{29, 7}","{12, 29, 7}",88.10714285714285,7
2,93.125,"{2, 12}",1,84.5,{29},"{2, 12, 29}",93.375,7
3,93.75,"{25, 2, 12}",0,84.25,set(),"{25, 2, 12}",93.75,7
0,84.25,set(),4,90.1369047619047,"{34, 44, 29, 7}","{34, 44, 29, 7}",90.1369047619047,7
1,87.625,{12},3,86.88690476190472,"{34, 29, 7}","{34, 12, 29, 7}",90.172619047619,7
2,93.125,"{2, 12}",2,84.73214285714285,"{29, 7}","{2, 12, 29, 7}",93.375,7
3,93.75,"{25, 2, 12}",1,84.5,{29},"{25, 2, 12, 29}",94.0,7
4,95.125,"{25, 2, 12, 22}",0,84.25,set(),"{25, 2, 12, 22}",95.125,7
0,84.25,set(),5,92.4428571428571,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",92.4428571428571,7
1,87.625,{12},4,90.1369047619047,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",91.92261904761901,7
2,93.125,"{2, 12}",3,86.88690476190472,"{34, 29, 7}","{2, 34, 7, 12, 29}",95.44047619047616,7
3,93.75,"{25, 2, 12}",2,84.73214285714285,"{29, 7}","{2, 7, 25, 12, 29}",94.0,7
4,95.125,"{25, 2, 12, 22}",1,84.5,{29},"{2, 22, 25, 12, 29}",95.375,7
5,96.75,"{2, 12, 21, 22, 25}",0,84.25,set(),"{2, 21, 22, 25, 12}",96.75,7
0,85.33333333333326,set(),1,85.63888888888883,{29},{29},85.63888888888883,8
1,89.77777777777773,{12},0,85.33333333333326,set(),{12},89.77777777777773,8
0,85.33333333333326,set(),2,85.84722222222216,"{29, 7}","{29, 7}",85.84722222222216,8
1,89.77777777777773,{12},1,85.63888888888883,{29},"{12, 29}",90.08333333333327,8
2,95.44444444444437,"{2, 12}",0,85.33333333333326,set(),"{2, 12}",95.44444444444437,8
0,85.33333333333326,set(),3,87.76785714285704,"{34, 29, 7}","{34, 29, 7}",87.76785714285704,8
1,89.77777777777773,{12},2,85.84722222222216,"{29, 7}","{12, 29, 7}",90.2916666666666,8
2,95.44444444444437,"{2, 12}",1,85.63888888888883,{29},"{2, 12, 29}",95.74999999999993,8
3,96.22222222222216,"{25, 2, 12}",0,85.33333333333326,set(),"{25, 2, 12}",96.22222222222216,8
0,85.33333333333326,set(),4,90.91269841269833,"{34, 44, 29, 7}","{34, 44, 29, 7}",90.91269841269833,8
1,89.77777777777773,{12},3,87.76785714285704,"{34, 29, 7}","{34, 12, 29, 7}",92.14285714285704,8
2,95.44444444444437,"{2, 12}",2,85.84722222222216,"{29, 7}","{2, 12, 29, 7}",95.74999999999993,8
3,96.22222222222216,"{25, 2, 12}",1,85.63888888888883,{29},"{25, 2, 12, 29}",96.52777777777771,8
4,98.11111111111106,"{25, 2, 12, 22}",0,85.33333333333326,set(),"{25, 2, 12, 22}",98.11111111111106,8
0,85.33333333333326,set(),5,93.05952380952371,"{34, 7, 44, 28, 29}","{34, 29, 7, 44, 28}",93.05952380952371,8
1,89.77777777777773,{12},4,90.91269841269833,"{34, 44, 29, 7}","{34, 7, 12, 29, 44}",93.68452380952374,8
2,95.44444444444437,"{2, 12}",3,87.76785714285704,"{34, 29, 7}","{2, 34, 7, 12, 29}",97.60119047619037,8
3,96.22222222222216,"{25, 2, 12}",2,85.84722222222216,"{29, 7}","{2, 7, 25, 12, 29}",96.52777777777771,8
4,98.11111111111106,"{25, 2, 12, 22}",1,85.63888888888883,{29},"{2, 22, 25, 12, 29}",98.41666666666661,8
