K,Sg,F(Sg),Sr,F(Sr),(Sg+ U Sg-)*,F(Sg+ U Sg-)*,(Sr+ U Sr-)*,F(Sr+ U Sr-)*,F(S*),S*,F(Sg)/F(S*),F(Sr)/F(S*),F(Sg+ U Sg-)* / F(S*),F(Sr+ U Sr-)* / F(S*),BFtime,kmax,n,m,dataset,graphid
1,{27},89.99999999999999,{42},86.83333333333333,{27},89.99999999999999,{12},84.00000000000001,89.99999999999999,{27},1.0,0.9648148148148149,1.0,0.9333333333333337,0.0212249755859375,6,112,48,productivity (11),5
2,"{10, 27}",97.0,"{9, 42}",90.33333333333331,"{10, 27}",97.0,"{2, 12}",89.33333333333333,97.0,"{10, 27}",1.0,0.93127147766323,1.0,0.9209621993127147,0.5211892127990723,6,112,48,productivity (11),5
3,"{26, 10, 27}",102.66666666666666,"{9, 42, 2}",94.0,"{26, 10, 27}",102.66666666666666,"{25, 2, 12}",89.66666666666667,102.66666666666666,"{27, 10, 26}",1.0,0.9155844155844157,1.0,0.8733766233766235,7.886605978012085,6,112,48,productivity (11),5
4,"{26, 10, 27, 42}",106.33333333333331,"{9, 42, 2, 49}",97.0,"{26, 10, 27, 42}",106.33333333333331,"{25, 2, 12, 22}",90.83333333333331,106.33333333333333,"{27, 10, 26, 42}",0.9999999999999999,0.9122257053291536,0.9999999999999999,0.8542319749216299,91.36754322052002,6,112,48,productivity (11),5
5,"{1, 10, 42, 26, 27}",108.66666666666669,"{2, 9, 42, 49, 19}",97.16666666666666,"{1, 26, 42, 10, 27}",108.66666666666669,"{2, 34, 7, 12, 29}",91.94999999999996,108.66666666666669,"{1, 10, 42, 16, 27}",1.0,0.894171779141104,1.0,0.8461656441717786,816.1632916927338,6,112,48,productivity (11),5
1,{27},92.42857142857144,{42},88.71428571428567,{27},92.42857142857144,{12},85.14285714285707,92.42857142857143,{27},1.0000000000000002,0.9598145285935079,1.0000000000000002,0.921174652241112,0.022272109985351562,7,112,48,productivity (11),6
2,"{10, 27}",99.42857142857142,"{9, 42}",92.71428571428568,"{10, 27}",99.42857142857142,"{2, 12}",90.7142857142857,99.42857142857142,"{10, 27}",1.0,0.9324712643678159,1.0,0.9123563218390803,0.48822593688964844,7,112,48,productivity (11),6
3,"{26, 10, 27}",104.71428571428572,"{9, 42, 2}",95.99999999999996,"{26, 10, 27}",104.71428571428572,"{25, 2, 12}",91.4285714285714,104.71428571428572,"{35, 26, 27}",1.0,0.9167803547066844,1.0,0.8731241473396996,8.770488977432251,7,112,48,productivity (11),6
4,"{26, 10, 27, 36}",108.28571428571428,"{9, 42, 2, 49}",98.71428571428568,"{26, 10, 27, 36}",108.28571428571428,"{25, 2, 12, 22}",92.4285714285714,108.2857142857143,"{35, 26, 27, 36}",0.9999999999999998,0.9116094986807383,0.9999999999999998,0.8535620052770444,96.76091194152832,7,112,48,productivity (11),6
5,"{1, 36, 10, 26, 27}",110.57142857142856,"{2, 9, 42, 49, 19}",98.99999999999994,"{1, 26, 36, 10, 27}",110.57142857142856,"{2, 21, 22, 25, 12}",93.4285714285714,110.71428571428572,"{1, 35, 36, 16, 27}",0.9987096774193546,0.8941935483870962,0.9987096774193546,0.8438709677419352,862.4233469963074,7,112,48,productivity (11),6
