K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,kmax,n,m,dataset,graphid
3,169.66666666666674,"{8, 9, 5}",128.99999999999983,"{18, 3, 5}",169.66666666666674,"{8, 9, 5}",89.83333333333324,"{41, 1, 7}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.315245478036178,0.8196457326892114,0.6231884057971007,1.8886827458256057,0.8196457326892114,0.4339774557165857,0.1184539794921875,0.0007710456848144531,3,328,49,adult (14),2
4,178.6666666666667,"{8, 9, 5, 46}",156.3333333333334,"{9, 18, 3, 5}",178.6666666666667,"{8, 9, 5, 46}",93.8333333333332,"{48, 41, 1, 7}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1428571428571426,0.8631239935587764,0.7552334943639295,1.9040852575488487,0.8631239935587764,0.45330112721417004,0.15964913368225098,0.0007979869842529297,3,328,49,adult (14),2
5,185.33333333333337,"{5, 8, 9, 46, 31}",178.6666666666667,"{18, 3, 5, 8, 9}",185.33333333333337,"{5, 8, 9, 46, 31}",95.49999999999986,"{1, 7, 41, 48, 17}",207.0,"{3, 5, 6, 8, 9, 10, 11, 43, 40, 46, 18, 31}",207,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.037313432835821,0.8953301127214173,0.8631239935587764,1.9406631762652737,0.8953301127214173,0.46135265700483025,0.1968400478363037,0.0007622241973876953,3,328,49,adult (14),2
1,136.25,{5},93.0,{18},136.25,{5},88.33333333333333,{41},242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.4650537634408602,0.5630165289256198,0.384297520661157,1.5424528301886793,0.5630165289256198,0.36501377410468316,0.04407191276550293,0.0009648799896240234,4,328,49,adult (14),3
2,174.75,"{9, 5}",140.75,"{18, 5}",174.75,"{9, 5}",88.41666666666666,"{41, 7}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.241563055062167,0.7221074380165289,0.5816115702479339,1.9764373232799248,0.7221074380165289,0.36535812672176304,0.09942984580993652,0.0008361339569091797,4,328,49,adult (14),3
3,208.75,"{8, 9, 5}",145.75,"{18, 3, 5}",208.75,"{8, 9, 5}",91.5833333333333,"{41, 1, 7}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.4322469982847341,0.862603305785124,0.6022727272727273,2.2793448589626943,0.862603305785124,0.37844352617079874,0.152069091796875,0.0013897418975830078,4,328,49,adult (14),3
4,219.25,"{8, 9, 5, 46}",184.25,"{9, 18, 3, 5}",219.25,"{8, 9, 5, 46}",95.16666666666661,"{48, 41, 1, 7}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1899592944369064,0.90599173553719,0.7613636363636364,2.303852889667252,0.90599173553719,0.39325068870523394,0.26856088638305664,0.0014948844909667969,4,328,49,adult (14),3
5,225.75,"{5, 8, 9, 46, 31}",218.25,"{18, 3, 5, 8, 9}",225.75,"{5, 8, 9, 46, 31}",96.16666666666661,"{1, 7, 41, 48, 17}",242.0,"{3, 5, 6, 8, 9, 40, 43, 11, 46, 18, 31}",242,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.034364261168385,0.9328512396694215,0.9018595041322314,2.3474870017331035,0.9328512396694215,0.3973829201101926,0.2834622859954834,0.0013380050659179688,4,328,49,adult (14),3
1,154.8,{8},98.20000000000037,{18},154.8,{8},92.25000000000034,{41},267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.5763747454175094,0.5797752808988764,0.36779026217228605,1.6780487804877988,0.5797752808988764,0.3455056179775294,0.05259108543395996,0.0010120868682861328,5,328,49,adult (14),4
2,206.79999999999984,"{8, 9}",160.40000000000006,"{18, 5}",206.79999999999984,"{8, 9}",92.40000000000035,"{41, 7}",267.0,"{3, 5, 6, 8, 9, 43, 11, 46, 18, 31}",267,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.2892768079800483,0.7745318352059919,0.6007490636704123,2.238095238095228,0.7745318352059919,0.3460674157303384,0.11801481246948242,0.0009298324584960938,5,328,49,adult (14),4
