K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
4,47.0,"{24, 42, 12, 14}",44.48095238095238,"{32, 34, 37, 46}",47.0,"{42, 3, 12, 7}",44.06428571428571,"{32, 3, 14, 30}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0566320522428005,1.0,0.946403242147923,1.0666234397795429,1.0,0.9375379939209726,0.05103611946105957,0.0003960132598876953,5.0,224,32,2,studentportuguese (30),,[],,1
6,47.0,"{24, 42, 12, 14}",45.55,"{0, 24, 41, 12, 13, 47}",47.0,"{42, 3, 12, 7}",43.93095238095238,"{0, 40, 45, 14, 16, 49}",47.0,"{42, 3, 12, 7}",47,"{0, 3, 6, 7, 8, 12, 13, 14, 16, 18, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49}",1.0318331503841933,1.0,0.9691489361702127,1.0698607121565227,1.0,0.9347011144883485,0.07710814476013184,0.0007038116455078125,5.0,224,32,2,studentportuguese (30),,[],,1
0,54.91973304473304,set(),54.91973304473304,set(),54.91973304473304,set(),54.91973304473304,set(),67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.8196975081303439,0.8196975081303439,1.0,0.8196975081303439,0.8196975081303439,0.0005958080291748047,0.0006210803985595703,5.5,224,39,3,studentportuguese (30),,[29],,1
2,62.78095238095238,"{42, 14}",57.18044733044733,"{0, 13}",62.78095238095238,"{42, 14}",55.08639971139971,"{8, 1}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0979444077822544,0.9370291400142146,0.8534395123947363,1.1396815313737112,0.9370291400142146,0.8221850703193986,0.03481602668762207,0.00044608116149902344,5.5,224,39,3,studentportuguese (30),,[29],,1
4,65.66666666666666,"{42, 44, 12, 14}",59.02806637806638,"{0, 24, 5, 13}",65.66666666666666,"{42, 44, 12, 14}",57.02925685425685,"{8, 1, 26, 23}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.112465149139072,0.9800995024875621,0.881015916090543,1.1514557665459932,0.9800995024875621,0.8511829381232365,0.0728449821472168,0.0006802082061767578,5.5,224,39,3,studentportuguese (30),,[29],,1
6,67.0,"{0, 24, 42, 44, 12, 14}",63.83333333333333,"{0, 23, 24, 42, 12, 13}",67.0,"{0, 42, 44, 12, 14, 24}",57.179256854256856,"{1, 8, 11, 20, 23, 26}",67.0,"{0, 42, 44, 12, 14, 24}",67,"{0, 1, 2, 3, 5, 6, 7, 8, 11, 12, 13, 14, 16, 18, 20, 23, 24, 26, 27, 28, 29, 30, 31, 32, 34, 35, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.049608355091384,1.0,0.9527363184079601,1.1717535988754637,1.0,0.8534217440933859,0.14586639404296875,0.0008227825164794922,5.5,224,39,3,studentportuguese (30),,[29],,1
0,74.86406401812243,set(),74.86406401812243,set(),74.86406401812243,set(),74.86406401812243,set(),107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.0,0.6996641497020788,0.6996641497020788,1.0,0.6996641497020788,0.6996641497020788,0.0008280277252197266,0.0010058879852294922,6.0,224,44,4,studentportuguese (30),,[29],,1
2,94.84761904761903,"{41, 44}",83.24867583396995,"{0, 13}",94.84761904761903,"{41, 44}",77.15858968509392,"{8, 46}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.1393288613596912,0.8864263462394302,0.7780250077941118,1.2292554780319218,0.8864263462394302,0.7211083148139619,0.07831764221191406,0.0006520748138427734,6.0,224,44,4,studentportuguese (30),,[29],,1
4,100.15238095238094,"{41, 42, 18, 44}",89.10620278414395,"{0, 24, 45, 13}",100.15238095238094,"{41, 42, 18, 44}",77.61374841525264,"{8, 1, 21, 46}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.123966433571363,0.9360035603026255,0.8327682503191023,1.2903948462396257,0.9360035603026255,0.7253621347219873,0.13712787628173828,0.0006222724914550781,6.0,224,44,4,studentportuguese (30),,[29],,1
6,102.85238095238095,"{18, 39, 41, 42, 44, 47}",95.92460317460315,"{0, 23, 24, 42, 12, 13}",102.85238095238095,"{39, 41, 42, 44, 47, 18}",86.57830086580087,"{1, 8, 46, 17, 18, 21}",107.0,"{39, 41, 42, 43, 44, 13, 12, 47, 18, 23, 28}",107,"{0, 1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 20, 21, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49}",1.072221073098085,0.9612372051624388,0.8964916184542351,1.1879695018709762,0.9612372051624388,0.8091429987458025,0.16014909744262695,0.0005910396575927734,6.0,224,44,4,studentportuguese (30),,[29],,1
