K,F(Sg+ U Sg-)*,(Sg+ U Sg-)*,F(Sr+ U Sr-)*,(Sr+ U Sr-)*,F(Sg),Sg,F(Sr),Sr,F(Sgfull),Sgfull,F(Srfull),Srfull,F(Sg+ U Sg-)*/F(Sr+ U Sr-)*,F(Sg+ U Sg-)*/F(Sgfull),F(Sr+ U Sr-)*/F(Srfull),F(Sg)/F(Sr),F(Sg)/F(Sgfull),F(Sr)/F(Srfull),budgetGreedyTime,budgetRdmTime,r,n,m,graphid,dataset,group0edges,group1edges,group0targets,group1targets
0,86.85692094283428,set(),86.85692094283428,set(),86.85692094283428,set(),86.85692094283428,set(),151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5752113969724124,0.5752113969724124,1.0,0.5752113969724124,0.5752113969724124,0.0010349750518798828,0.0012831687927246094,6.5,206,39,5,studentmath (30),,[],,1
2,135.79871794871795,"{2, 38}",126.6974386724387,"{0, 6}",135.79871794871795,"{2, 38}",113.88358447108446,"{1, 7}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0718347535012887,0.8993292579385295,0.8390558852479384,1.1924345249529604,0.8993292579385295,0.754195923649566,0.11272573471069336,0.0016922950744628906,6.5,206,39,5,studentmath (30),,[],,1
4,144.51666666666665,"{0, 2, 28, 38}",135.25357142857146,"{0, 27, 6, 7}",144.51666666666665,"{0, 2, 28, 38}",116.4216797091797,"{1, 18, 15, 7}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0684868809027133,0.957064017660044,0.8957190160832547,1.2413209208771767,0.957064017660044,0.771004501385296,0.14632201194763184,0.0014400482177734375,6.5,206,39,5,studentmath (30),,[],,1
6,149.0,"{0, 2, 38, 6, 27, 28}",143.77857142857144,"{0, 7, 6, 39, 27, 28}",149.0,"{0, 2, 38, 6, 27, 28}",118.09213425463423,"{1, 7, 8, 14, 15, 18}",151.0,"{0, 1, 2, 34, 38, 6, 21, 27, 28}",151,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0363157633265436,0.9867549668874173,0.9521759697256387,1.2617267097461478,0.9867549668874173,0.7820671142691009,0.21056079864501953,0.0011470317840576172,6.5,206,39,5,studentmath (30),,[],,1
0,96.62018030290102,set(),96.62018030290102,set(),96.62018030290102,set(),96.62018030290102,set(),174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5552883925454082,0.5552883925454082,1.0,0.5552883925454082,0.5552883925454082,0.0011897087097167969,0.0010197162628173828,7.0,206,39,6,studentmath (30),,[15],,1
2,161.99740259740264,"{2, 38}",155.7431651681652,"{0, 6}",161.99740259740264,"{2, 38}",145.01197265496805,"{1, 7}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0401573797635637,0.9310195551574865,0.895075661886007,1.1171312246254907,0.9310195551574865,0.8334021416952186,0.0895071029663086,0.0010480880737304688,7.0,206,39,6,studentmath (30),,[15],,1
4,169.0857142857143,"{0, 2, 38, 6}",162.6925518925519,"{0, 27, 6, 7}",169.0857142857143,"{0, 2, 38, 6}",149.43551022850562,"{1, 18, 15, 7}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0392959746392365,0.9717569786535304,0.9350146660491488,1.131496215505679,0.9717569786535304,0.8588247714281932,0.18607592582702637,0.0012371540069580078,7.0,206,39,6,studentmath (30),,[15],,1
6,171.38333333333335,"{0, 2, 38, 6, 24, 9}",166.25238095238097,"{0, 7, 6, 39, 27, 28}",171.38333333333335,"{0, 2, 38, 6, 9, 24}",150.03225604804558,"{1, 7, 8, 14, 15, 18}",174.0,"{0, 2, 38, 6, 9, 18, 21, 24, 27, 28}",174,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0308624294675335,0.9849616858237549,0.9554734537493159,1.1423099128660066,0.9849616858237549,0.8622543451037102,0.2950305938720703,0.0012478828430175781,7.0,206,39,6,studentmath (30),,[15],,1
0,97.95856435731915,set(),97.95856435731915,set(),97.95856435731915,set(),97.95856435731915,set(),191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.5128720646980061,0.5128720646980061,1.0,0.5128720646980061,0.5128720646980061,0.0013051033020019531,0.0012469291687011719,7.5,206,39,7,studentmath (30),,[15],,1
2,181.20476190476188,"{2, 38}",176.62612621296827,"{0, 6}",181.20476190476188,"{2, 38}",165.87367934353227,"{1, 7}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0259227544076515,0.9487160309149837,0.9247441162982633,1.0924262524464667,0.9487160309149837,0.8684485829504307,0.11468386650085449,0.0013010501861572266,7.5,206,39,7,studentmath (30),,[15],,1
4,187.20555555555558,"{0, 9, 2, 38}",183.3412698412698,"{0, 27, 6, 7}",187.20555555555558,"{0, 9, 2, 38}",168.73758178096412,"{1, 18, 15, 7}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0210770096532622,0.9801337987201862,0.9599019363417267,1.1094478988004253,0.9801337987201862,0.8834428365495504,0.27686595916748047,0.0014290809631347656,7.5,206,39,7,studentmath (30),,[15],,1
6,189.58333333333331,"{0, 2, 18, 38, 9, 27}",185.6333333333333,"{0, 7, 6, 39, 27, 28}",189.58333333333331,"{0, 2, 38, 9, 18, 27}",169.73130567403015,"{1, 7, 8, 14, 15, 18}",191.0,"{0, 2, 38, 9, 18, 24, 25, 27}",191,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0212785060154428,0.9925828970331587,0.9719022687609074,1.1169614973529343,0.9925828970331587,0.8886455794451841,0.36748623847961426,0.001760721206665039,7.5,206,39,7,studentmath (30),,[15],,1
0,97.44815332564832,set(),97.44815332564832,set(),97.44815332564832,set(),97.44815332564832,set(),197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.4946606767799407,0.4946606767799407,1.0,0.4946606767799407,0.4946606767799407,0.002794027328491211,0.0033190250396728516,8.0,206,39,8,studentmath (30),,[15],,1
2,191.67117604617604,"{2, 28}",186.9065249808671,"{0, 6}",191.67117604617604,"{2, 28}",179.0149483487527,"{1, 7}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0254921601361788,0.9729501322140915,0.9487640861972949,1.0706992785472125,0.9729501322140915,0.9087053215672727,0.1621079444885254,0.0026721954345703125,8.0,206,39,8,studentmath (30),,[15],,1
4,195.8080808080808,"{24, 9, 2, 28}",190.49213564213565,"{0, 27, 6, 7}",195.8080808080808,"{24, 9, 2, 28}",184.1939759071338,"{1, 18, 15, 7}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0279063760192801,0.9939496487719838,0.9669651555438358,1.0630536630948375,0.9939496487719838,0.9349948015590548,0.3187849521636963,0.001956939697265625,8.0,206,39,8,studentmath (30),,[15],,1
6,197.0,"{2, 6, 24, 9, 28}",192.6436507936508,"{0, 7, 6, 39, 27, 28}",197.0,"{2, 6, 9, 24, 28}",184.51462747778538,"{1, 7, 8, 14, 15, 18}",197.0,"{2, 6, 9, 24, 28}",197,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0226135104292404,1.0,0.9778865522520346,1.0676660311048662,1.0,0.9366224745065248,0.46589112281799316,0.002672910690307617,8.0,206,39,8,studentmath (30),,[15],,1
0,98.39984018958461,set(),98.39984018958461,set(),98.39984018958461,set(),98.39984018958461,set(),203.0,"{24, 2, 28, 7}",203,"{0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39}",1.0,0.4847282767959833,0.4847282767959833,1.0,0.4847282767959833,0.4847282767959833,0.0017900466918945312,0.0017910003662109375,8.5,206,39,9,studentmath (30),,"[8, 12, 15, 17]",,1
